,hamming,acc,max_entropy,mean_entropy,min_max_proba,bce,dataset,training_reps,repetition,cor,sample_mean,which_first
1,6.0,14.0,1.9295341,0.6914762,0.26862118,-0.6024491,training,7,1,0.5,harmonic,sample
2,2.0,17.0,1.1639605,0.17092487,0.5155105,-0.2034334,training,7,2,0.5,harmonic,sample
3,0.0,19.0,0.39260682,0.040892307,0.86881506,-0.011924342,training,7,3,0.5,harmonic,sample
4,0.0,19.0,0.6197679,0.059377357,0.68997926,-0.030530429,training,7,4,0.5,harmonic,sample
5,0.0,19.0,0.036617436,0.0019945095,0.99415773,-0.00030838815,training,7,5,0.5,harmonic,sample
6,0.0,19.0,0.31248367,0.016446903,0.90519094,-0.0052425987,training,7,6,0.5,harmonic,sample
7,0.0,19.0,0.0060178936,0.0003167323,1.0,0.0,training,7,7,0.5,harmonic,sample
1,12.0,7.0,1.9008434,1.1161748,0.294447,-1.8239617,testing,8,1,0.5,harmonic,sample
2,3.0,16.0,1.3156872,0.4755496,0.3522349,-0.37158203,testing,8,2,0.5,harmonic,sample
3,1.0,18.0,0.84514344,0.11448774,0.49843153,-0.07005551,testing,8,3,0.5,harmonic,sample
4,0.0,19.0,0.4620148,0.053999856,0.8420844,-0.016755756,testing,8,4,0.5,harmonic,sample
5,1.0,18.0,0.63405347,0.06322679,0.67005825,-0.06671464,testing,8,5,0.5,harmonic,sample
6,0.0,19.0,0.51797074,0.03162767,0.85869306,-0.00884046,testing,8,6,0.5,harmonic,sample
7,0.0,19.0,0.057686534,0.003370831,0.9902819,-0.0005139803,testing,8,7,0.5,harmonic,sample
8,0.0,19.0,0.0014553908,7.775411e-05,1.0,0.0,testing,8,8,0.5,harmonic,sample
