,hamming,acc,max_entropy,mean_entropy,min_max_proba,bce,dataset,training_reps,repetition,cor,sample_mean,which_first
1,8.0,13.0,1.4683454,0.64291275,0.43251652,-0.87625927,training,7,1,0.5,harmonic,sample
2,2.0,17.0,0.7637959,0.119153924,0.68628323,-0.2475072,training,7,2,0.5,harmonic,sample
3,0.0,19.0,0.44097358,0.051172845,0.84044135,-0.018657483,training,7,3,0.5,harmonic,sample
4,0.0,19.0,0.42640206,0.04059975,0.8603718,-0.0132606905,training,7,4,0.5,harmonic,sample
5,0.0,19.0,0.1897436,0.010435172,0.95420665,-0.0025699013,training,7,5,0.5,harmonic,sample
6,0.0,19.0,0.65014875,0.03423502,0.64564854,-0.023026315,training,7,6,0.5,harmonic,sample
7,0.0,19.0,0.0073765838,0.00038827193,1.0,0.0,training,7,7,0.5,harmonic,sample
1,17.0,5.0,2.289797,1.2986041,0.23763682,-2.2641087,testing,8,1,0.5,harmonic,sample
2,5.0,14.0,1.0960659,0.4569986,0.51525885,-0.59182256,testing,8,2,0.5,harmonic,sample
3,1.0,18.0,1.0038446,0.18018776,0.46549755,-0.09071752,testing,8,3,0.5,harmonic,sample
4,2.0,17.0,1.0220602,0.096052766,0.56259495,-0.15069902,testing,8,4,0.5,harmonic,sample
5,2.0,17.0,1.2488449,0.07094922,0.4533841,-0.27970806,testing,8,5,0.5,harmonic,sample
6,2.0,17.0,1.126623,0.07170915,0.5405142,-0.22450659,testing,8,6,0.5,harmonic,sample
7,1.0,18.0,0.4141417,0.023924075,0.8553453,-0.10187089,testing,8,7,0.5,harmonic,sample
8,0.0,19.0,0.58449984,0.030872028,0.72876334,-0.01665296,testing,8,8,0.5,harmonic,sample
