,hamming,acc,max_entropy,mean_entropy,min_max_proba,bce,dataset,training_reps,repetition,cor,sample_mean,which_first
1,7.0,12.0,1.4225795,0.79252696,0.41493282,-0.8814119,training,7,1,0.7,geometric,sequence
2,4.0,16.0,0.7563722,0.14275822,0.62000525,-0.69400185,training,7,2,0.7,geometric,sequence
3,2.0,17.0,1.3493516,0.17406684,0.32149747,-0.24465461,training,7,3,0.7,geometric,sequence
4,2.0,17.0,0.5657291,0.060101654,0.80117196,-0.23077714,training,7,4,0.7,geometric,sequence
5,0.0,19.0,0.36845666,0.024640119,0.8790564,-0.007658306,training,7,5,0.7,geometric,sequence
6,0.0,19.0,0.33409035,0.018097565,0.8963942,-0.005756579,training,7,6,0.7,geometric,sequence
7,0.0,19.0,0.0124054365,0.00065419433,0.9980488,-0.00010279605,training,7,7,0.7,geometric,sequence
1,21.0,3.0,2.42449,1.4361565,0.27238545,-3.0021331,testing,8,1,0.7,geometric,sequence
2,10.0,10.0,1.7375379,0.6787546,0.31512523,-1.3264289,testing,8,2,0.7,geometric,sequence
3,3.0,16.0,1.3611686,0.31950405,0.34089804,-0.42886513,testing,8,3,0.7,geometric,sequence
4,4.0,15.0,1.3425951,0.21518843,0.39544863,-0.5600329,testing,8,4,0.7,geometric,sequence
5,3.0,16.0,0.7226958,0.075335026,0.6000501,-0.979595,testing,8,5,0.7,geometric,sequence
6,4.0,15.0,1.1969726,0.10350273,0.5018504,-0.91868836,testing,8,6,0.7,geometric,sequence
7,3.0,16.0,0.6607908,0.04545825,0.6270074,-0.78546464,testing,8,7,0.7,geometric,sequence
8,3.0,16.0,0.48640034,0.0343633,0.8098247,-0.5393709,testing,8,8,0.7,geometric,sequence
