,hamming,acc,max_entropy,mean_entropy,min_max_proba,bce,dataset,training_reps,repetition,xi_var,sample_mean,which_first
1,7.0,12.0,1.8232541,0.90841043,0.3172868,-0.8814119,training,7,1,1.0,harmonic,sample
2,3.0,16.0,0.9999797,0.15219407,0.62884706,-0.2657021,training,7,2,1.0,harmonic,sample
3,1.0,18.0,0.7568542,0.09179591,0.64627934,-0.079358555,training,7,3,1.0,harmonic,sample
4,0.0,19.0,0.101299256,0.007543941,0.97970104,-0.0013363487,training,7,4,1.0,harmonic,sample
5,0.0,19.0,0.076581,0.005773104,0.9854583,-0.0010279606,training,7,5,1.0,harmonic,sample
6,0.0,19.0,0.6934841,0.03650406,0.50975347,-0.035464637,training,7,6,1.0,harmonic,sample
7,0.0,19.0,0.006564503,0.0003458222,1.0,0.0,training,7,7,1.0,harmonic,sample
1,15.0,6.0,2.0376434,1.10044,0.33121735,-2.303364,testing,7,1,1.0,harmonic,sample
2,6.0,13.0,1.2985907,0.53347045,0.48950753,-0.9145508,testing,7,2,1.0,harmonic,sample
3,2.0,17.0,1.3038688,0.2937948,0.4845138,-0.21237664,testing,7,3,1.0,harmonic,sample
4,2.0,17.0,0.7715347,0.1873959,0.62395334,-0.33825043,testing,7,4,1.0,harmonic,sample
5,3.0,16.0,0.5435312,0.073096536,0.7667266,-0.56866777,testing,7,5,1.0,harmonic,sample
6,3.0,16.0,0.5852629,0.057233866,0.72734135,-0.5056538,testing,7,6,1.0,harmonic,sample
7,0.0,19.0,0.6723603,0.069655746,0.6018106,-0.037109375,testing,7,7,1.0,harmonic,sample
8,0.0,19.0,0.052694026,0.006203726,0.9902819,-0.0011307566,testing,7,8,1.0,harmonic,sample
