,hamming,acc,max_entropy,mean_entropy,min_max_proba,bce,dataset,training_reps,repetition,cor,sample_mean,which_first
1,19.0,5.0,3.3877373,2.205159,0.088452205,-2.407946,training,7,1,0.5,harmonic,sample
2,11.0,11.0,3.0946648,1.5531948,0.16158016,-1.9995631,training,7,2,0.5,harmonic,sample
3,6.0,13.0,2.65409,1.0419397,0.22976388,-1.0398849,training,7,3,0.5,harmonic,sample
4,7.0,12.0,2.1825974,0.7353486,0.26679116,-0.74902344,training,7,4,0.5,harmonic,sample
5,3.0,16.0,2.118029,0.5313678,0.24482134,-0.44192022,training,7,5,0.5,harmonic,sample
6,3.0,16.0,1.9743534,0.37474307,0.2649736,-0.26901728,training,7,6,0.5,harmonic,sample
7,0.0,19.0,1.6148653,0.26764223,0.48926854,-0.106702305,training,7,7,0.5,harmonic,sample
1,26.0,1.0,3.0594454,2.307375,0.13824058,-3.8741777,testing,8,1,0.5,harmonic,sample
2,24.0,2.0,2.7534277,1.9323645,0.13200673,-3.0778422,testing,8,2,0.5,harmonic,sample
3,15.0,6.0,2.7709942,1.6934987,0.22576034,-2.375257,testing,8,3,0.5,harmonic,sample
4,13.0,6.0,2.4003341,1.2856271,0.22334817,-2.0407586,testing,8,4,0.5,harmonic,sample
5,12.0,9.0,2.2967157,1.1303797,0.305579,-1.7308799,testing,8,5,0.5,harmonic,sample
6,9.0,10.0,2.4237866,1.0586426,0.22400346,-1.7881373,testing,8,6,0.5,harmonic,sample
7,10.0,9.0,1.7856331,0.7682129,0.39160562,-1.4514803,testing,8,7,0.5,harmonic,sample
8,8.0,12.0,2.148099,0.6900036,0.26967254,-1.6157484,testing,8,8,0.5,harmonic,sample
