,hamming,acc,max_entropy,mean_entropy,min_max_proba,bce,dataset,training_reps,repetition,cor,sample_mean,which_first
1,5.0,14.0,1.7397517,0.54924273,0.32888058,-0.5946366,training,7,1,0.5,harmonic,sample
2,1.0,18.0,0.72547376,0.09971995,0.5571276,-0.32002982,training,7,2,0.5,harmonic,sample
3,0.0,19.0,0.6495298,0.044209417,0.64880884,-0.024516858,training,7,3,0.5,harmonic,sample
4,0.0,19.0,0.26533225,0.020295378,0.9257524,-0.0052939965,training,7,4,0.5,harmonic,sample
5,0.0,19.0,0.0087476075,0.00048691104,0.9980488,-0.00010279605,training,7,5,0.5,harmonic,sample
6,0.0,19.0,0.038462948,0.002025492,0.99415773,-0.00030838815,training,7,6,0.5,harmonic,sample
7,0.0,19.0,0.0002901682,1.5276522e-05,1.0,0.0,training,7,7,0.5,harmonic,sample
1,13.0,7.0,2.3414254,1.1929245,0.22264042,-1.8036724,testing,8,1,0.5,harmonic,sample
2,3.0,16.0,1.0678769,0.36612216,0.47467867,-0.46304482,testing,8,2,0.5,harmonic,sample
3,1.0,18.0,0.77285737,0.122211605,0.673338,-0.15018503,testing,8,3,0.5,harmonic,sample
4,1.0,18.0,1.3432875,0.099025294,0.38742143,-0.10803865,testing,8,4,0.5,harmonic,sample
5,1.0,18.0,0.8300504,0.06899518,0.75631535,-0.1353824,testing,8,5,0.5,harmonic,sample
6,1.0,18.0,0.8005243,0.044444215,0.6994773,-0.15203536,testing,8,6,0.5,harmonic,sample
7,0.0,19.0,0.24586876,0.014499399,0.9394131,-0.0034950657,testing,8,7,0.5,harmonic,sample
8,0.0,19.0,0.0011107984,7.825942e-05,1.0,0.0,testing,8,8,0.5,harmonic,sample
